station_id,name,lat,lon
45020,"Grand Traverse Bay South Buoy, MI",44.789,-85.604
45021,"Traverse Bay #3, MI",45.048,-85.493
45022,"Little Traverse Bay Buoy, MI",45.404,-85.088
45023,"North Entry Buoy, North Keweenaw Peninsula, MI",47.27,-88.607
45024,"Ludington Buoy, MI",43.98,-86.56
45025,"South Entry Buoy, South Keweenaw Peninsula, MI",46.969,-88.398
45026,"Cook Nuclear Plant Buoy, Stevensville, MI",41.982,-86.619
45027,"McQuade Harbor Nearshore, MN",46.86,-91.93
45028,Western Lake Superior,46.814,-91.829
45029,"Holland Buoy, MI",42.9,-86.272
45132,Port Stanley,42.46,-81.22
45135,Prince Edward Pt,43.78,-76.87
45136,Slate Island,48.54,-86.95
45137,Georgian Bay,45.54,-81.02
45138,Mont Louis,49.54,-65.71
45139,West Lake Ontario - Grimsby,43.25,-79.53
45140,Lake Winnipeg S. Basin,50.8,-96.73
45141,Great Slave Lake,61.18,-115.31
45142,Port Colborne,42.74,-79.29
45143,South Georgian Bay,44.94,-80.627
45144,Lake Winnipeg North,53.23,-98.29
45145,Lake Winnipeg Narrows,51.87,-96.97
45147,Lake St Clair,42.43,-82.68
45148,Lake of the Woods,49.65,-94.5
45149,Southern Lake Huron,43.54,-82.08
45150,"Great Slave Lake, North Arm",61.98,-114.13
45151,Lake Simcoe,44.5,-79.37
45152,Lake Nipissing,46.23,-79.72
45154,North Channel East,46.05,-82.64
45155,Pan Am Games,43.59,-79.39
45158,Hudson Bay,59.0,-94.0
45159,NW Lake Ontario Ajax,43.77,-78.98
45160,16-Mile Creek,43.417,-79.633
45161,"Muskegon Buoy, MI",43.185,-86.354
45162,"Thunder Bay Buoy, Alpena, MI",44.988,-83.269
45163,"Saginaw Bay Buoy, MI",43.983,-83.6
45164,"Cleveland Buoy, OH",41.748,-81.698
45165,"Toledo Water Intake Buoy, Oregon, OH",41.704,-83.264
45166,Lake Champlain - Inland Sea,44.785,-73.258
45167,"Erie Nearshore Buoy, Erie, PA",42.185,-80.135
45168,"South Haven Buoy, MI",42.397,-86.331
45169,"Lakewood Buoy, OH",41.615,-81.821
45170,"Michigan City Buoy, IN",41.755,-86.968
45171,"Granite Island Buoy, Granite Island, MI",46.724,-87.411
45172,"Grand Marais Buoy, Grand Marais, MI",46.74,-85.98
45173,"Munising Buoy, Munising, MI",46.573,-86.572
45174,"Wilmette Buoy, IL",42.135,-87.655
45175,"Mackinac Straits West, Mackinaw City, MI",45.825,-84.772
45176,"Cleveland Intake Crib Buoy, OH",41.55,-81.765
45177,"Ohio St. Beach, Chicago, IL",41.894,-87.613
45178,"1 NM SE of Valcour Island, NY",44.603,-73.394
45179,Stannard Rock Buoy,47.195,-87.224
45180,"Isle of Royale East, MI (230)",48.034,-87.73
45183,Sleeping Bear Dunes,44.982,-85.831
45184,Green Bay East Buoy,44.55,-87.959
45185,Green Bay West Buoy,44.577,-87.987
45186,"Waukegan Buoy, IL",42.368,-87.795
45187,"Winthrop Harbor Buoy, IL",42.491,-87.779
45188,Champlain Bridge Buoy,44.094,-73.423
45190,"Sodus Point, NY",43.282,-76.961
45191,"Oak Orchard, NY",43.388,-78.192
45194,"McGulpin Point North, MI (253)",45.803,-84.792
45195,"Schuyler Reef, NY (251)",44.488,-73.339
45196,"Rocky River, OH",41.521,-81.88
45197,"Euclid, OH",41.619,-81.617
45198,Chicago Buoy,41.892,-87.563
